        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
         14340          4000    5.4458e+07        2022.88   0.000344394        1.02562   0.000483948
         14390          4000   5.45592e+07        2023.04   0.000345454        1.02891   0.000482266
         14440          4000   5.46603e+07         2023.2   0.000346516        1.03221   0.000480596
         14490          4000   5.47615e+07        2023.37   0.000347579        1.03551   0.000478938
         14540          4000   5.48627e+07        2023.53   0.000348644        1.03883   0.000477291
         14590          4000   5.49639e+07         2023.7   0.000349712        1.04215   0.000475655
         14640          4000   5.50651e+07        2023.88    0.00035078        1.04548    0.00047403
         14690          4000   5.51663e+07        2024.06   0.000351851        1.04882   0.000472417
         14740          4000   5.52675e+07        2024.24   0.000352924        1.05217   0.000470814
         14790          4000   5.53687e+07        2024.43   0.000353998        1.05552   0.000469223
         14840          4000   5.54699e+07        2024.62   0.000355075        1.05889   0.000467642
         14890          4000   5.55711e+07        2024.81   0.000356153        1.06226   0.000466071
         14940          4000   5.56724e+07        2025.01   0.000357233        1.06564   0.000464512
         14990          4000   5.57736e+07        2025.21   0.000358316        1.06903   0.000462962
           290          4500      -8240.91        1010.97   1.90975e-05      0.0279961     0.0538432
           340          4500       42375.1        1013.97    2.1051e-05      0.0309442     0.0459251
           390          4500         93188        1018.88   2.30652e-05      0.0340577     0.0400372
           440          4500        144296        1025.77    2.5077e-05      0.0372604     0.0354876
           490          4500        195795        1034.43   2.71027e-05      0.0405847     0.0318664
           540          4500        247763        1044.54   2.91351e-05      0.0440255     0.0289158
           590          4500        300266        1055.72    3.1198e-05      0.0476119     0.0264653
           640          4500        353347         1067.6   3.29939e-05      0.0508849     0.0243977
           690          4500        407031        1079.81   3.47126e-05      0.0541133     0.0226297
           740          4500        461329        1092.06    3.6432e-05      0.0574018     0.0211007
           790          4500        516234        1104.11   3.81568e-05      0.0607461     0.0197652
           840          4500        571734         1115.8   3.98915e-05      0.0641434     0.0185887
           890          4500        627807        1127.03     4.164e-05      0.0675937     0.0175444
           940          4500        684430        1137.82   4.34062e-05      0.0711009     0.0166112
           990          4500        741582        1148.25   4.51937e-05      0.0746745     0.0157722
          1040          4500        799250        1158.36   4.66585e-05      0.0777459      0.015014
          1090          4500        857411        1168.01   4.80281e-05      0.0806697     0.0143253
          1140          4500        916045        1177.28   4.93873e-05      0.0835874     0.0136969
          1190          4500        975135        1186.26   5.07375e-05      0.0865052     0.0131214
          1240          4500   1.03467e+06        1195.02     5.208e-05      0.0894296     0.0125924
          1290          4500   1.09463e+06        1203.64   5.34159e-05      0.0923671     0.0121043
          1340          4500   1.15503e+06         1212.2   5.47463e-05      0.0953252     0.0116526
          1390          4500   1.21585e+06        1220.77   5.60722e-05      0.0983128     0.0112335
          1440          4500   1.27711e+06        1229.43   5.73944e-05       0.101342     0.0108434
          1490          4500    1.3388e+06        1238.31   5.87139e-05       0.104427     0.0104795
          1540          4500   1.40095e+06        1247.54   6.00312e-05       0.107593     0.0101392
          1590          4500   1.46356e+06        1257.32   6.13472e-05       0.110871    0.00982032
          1640          4500   1.52669e+06        1267.93   6.26625e-05       0.114307    0.00952081
          1690          4500   1.59038e+06        1279.73   6.39779e-05       0.117965    0.00923896
          1740          4500   1.65469e+06         1293.2   6.52939e-05       0.121932    0.00897321
          1790          4500   1.71974e+06        1308.99   6.66113e-05       0.126325    0.00872215
          1840          4500   1.78564e+06        1327.88   6.79308e-05       0.131297    0.00848454
          1890          4500   1.85259e+06        1350.88   6.92533e-05       0.137044    0.00825921
          1940          4500   1.92082e+06        1379.19   7.05796e-05       0.143811    0.00804512
          1990          4500   1.99062e+06        1414.27   7.19107e-05       0.151899    0.00784127
          2040          4500   2.06239e+06         1457.8   7.30614e-05       0.161189    0.00764675
          2090          4500   2.13658e+06         1511.7   7.41641e-05       0.172364     0.0074607
          2140          4500   2.21376e+06        1578.11   7.52659e-05       0.185983    0.00728228
          2190          4500   2.29463e+06        1659.36   7.63687e-05       0.202546     0.0071107
          2240          4500   2.37999e+06         1757.9   7.74744e-05        0.22259    0.00694518
          2290          4500   2.47075e+06        1876.24   7.85855e-05       0.246675    0.00678498
          2340          4500   2.56798e+06        2016.78   7.97045e-05       0.275352    0.00662937
          2390          4500   2.67284e+06        2181.69   8.08344e-05       0.309133    0.00647765
          2440          4500   2.78659e+06        2372.69   8.19785e-05       0.348437    0.00632914
          2490          4500   2.91056e+06        2590.76   8.31401e-05        0.39353    0.00618324
          2540          4500   3.04611e+06        2835.81    8.4323e-05       0.444447    0.00603938
          2590          4500   3.19457e+06        3106.33   8.55304e-05       0.500909    0.00589706
          2640          4500   3.35712e+06        3398.92   8.67657e-05       0.562221    0.00575591
          2690          4500   3.53473e+06        3707.85   8.80316e-05       0.627182    0.00561566
          2740          4500   3.72803e+06        4024.69   8.93299e-05       0.694009    0.00547622
          2790          4500   3.93715e+06        4338.07   9.06616e-05       0.760296    0.00533766
          2840          4500   4.16155e+06        4633.69   9.20259e-05       0.823045    0.00520023
          2890          4500   4.39994e+06        4894.89   9.34206e-05       0.878798    0.00506439
          2940          4500   4.65016e+06        5103.76   9.48418e-05       0.923901    0.00493079
